"","CRC-2124325","CRC-2211756","CRC-2276341","CRC-2277930","CRC-2280766","CRC-2327118","CRC-2334660","CRC-2358281","CRC-2362297","CRC-2372270","CRC-2382513","CRC-2383018","CRC-2383387","CRC-2383420","CRC-2383555","CRC-2383730","CRC-2384076","CRC-2384108","CRC-2384226","CRC-2384272","CRC-2384377","CRC-2384422","CRC-2384541","CRC-2384548","CRC-2384796","CRC-2386412","CRC-2386612","CRC-2387327","CRC-2387768","CRC-2388859","CRC-2388932","CRC-2389212","CRC-2389216","CRC-2389315","CRC-2389419","CRC-2389477","CRC-2390502","CRC-2390716","CRC-2390804","CRC-2391097","CRC-2391358","CRC-2392154","CRC-2392181","CRC-2392315","CRC-2393807","CRC-2393856","CRC-2396217","CRC-2396425","CRC-2396837","CRC-2397180","CRC-2397621","CRC-2398897","CRC-2405108","CRC-2405110","CRC-2406345","CRC-2406395","CRC-2406552","CRC-2406569","CRC-2406676","CRC-2407821","CRC-2408137","CRC-2408162","CRC-2408206","CRC-2408346","CRC-2408549","CRC-2408784","CRC-2409038","CRC-2409228","CRC-2409545","CRC-2410759","CRC-2410966","CRC-2411160","CRC-2411260","CRC-2411548","CRC-2411883","CRC-2411896","CRC-2412048","CRC-2412064","CRC-2412066","CRC-2412167","CRC-2412287","CRC-2412290","CRC-2412788","CRC-2416785","CRC-2418060","CRC-2418277","CRC-2418488","CRC-2418503","CRC-2418658","CRC-9299429","ESCA_KZ-17","ESCA_PKU-2412110","ESCA_PKU-2412347","ESCA_PKU-2412565","ESCA_PKU-2412866","ESCA_PKU-2414413","ESCA_PKU-2414433","ESCA_PKU-2414466","ESCA_PKU-2414682","ESCA_PKU-2414854","ESCA_PKU-2415457","ESCA_PKU-2415469","ESCA_PKU-2415974","ESCA_PKU-2418551","ESCA_PKU-2418615","ESCA_TJHH-569608","ESCA_TJHH-569799","ESCA_UnionH-1620241","ESCA_UnionH-1626151","ESCA_UnionH-1628973","ESCA_UnionH-1629817","ESCA_XieH-1630667","ESCA_XieH-1630872","HCC_ChQ-33630257","HCC_ChQ-7000014337","HCC_ChQ-8002011290","HCC_ChQ-8002020781","HCC_ChQ-91244930","HCC_ShH-214851","HCC_ShH-216070","HCC_ShH-216159","HCC_ShH-216176","HCC_ShH-216180","HCC_ShH-216222","HCC_ShH-216224","HCC_ShH-216260","HCC_ShH-216265","HCC_ShH-216276","HCC_ShH-216287","HCC_ShH-216288","HCC_ShH-216290","HCC_ShH-216306","HCC_ShH-216310","HCC_ShH-216314","HCC_ShH-216328","HCC_ShH-216336","HCC_ShH-216368","HCC_ShH-216372","HCC_ShH-216383","HCC_ShH-216386","HCC_ShH-216387","HCC_ShH-216390","HCC_ShH-216393","HCC_ShH-216398","HCC_ShH-216435","HCC_ShH-216447","HCC_ShH-216450","HCC_ShH-216469","HCC_ShH-216517","HCC_ShH-216540","HCC_ShH-216565","HCC_ShH-216652","HCC_ShH-216692","HCC_ShH-216730","HCC_ShH-216733","HCC_ShH-216749","HCC_ShHW-161444","HCC_ShHW-224990","HCC_ShHW-225048","HCC_ShHW-225050","HCC_ShHW-225181","HCC_ShHW-225315","HCC-ChQ10","HCC-ShHW-223960","HCC-ShHW-224900","HCC-ShHW-224934","HCC-ShHW-224995","HCC-ShHW-225464","HCC-ShHW-225484","HCC-ShHW-351556","LUAD-2238350","LUAD-2359535","LUAD-2359570","LUAD-2378877","LUAD-2379000","LUAD-2379197","LUAD-2379223","LUAD-2379275","LUAD-2380731","LUAD-2380982","LUAD-2381001","LUAD-2381036","LUAD-2381280","LUAD-2381602","LUAD-2381787","LUAD-2382152","LUAD-2382186","LUAD-2382392","LUAD-2382462","LUAD-2383484","LUAD-2383900","LUAD-2384213","LUAD-2384220","LUAD-2384340","LUAD-2384356","LUAD-2384360","LUAD-2386025","LUAD-2386185","LUAD-2386375","LUAD-2386387","LUAD-2387760","LUAD-2388850","LUAD-2391958","LUAD-2394433","NC_ChQ-10","NC_ChQ-11","NC_ChQ-24","NC_ChQ-26","NC_ChQ-35","NC_ChQ-36","NC_ChQ-51","NC_ChQ-52","NC_ChQ-58","NC_ChQ-65","NC_ChQ-70","NC_ChQ-71","NC_HaiB-2","NC_HaiB-3","NC_PKU-0671826","NC_PKU-2359973","NC_PKU-2391923","NC_PKU-2392860","NC_PKU-2392931","NC_PKU-2392932","NC_PKU-2392993","NC_PKU-2393221","NC_PKU-2394780","NC_PKU-2397512","NC_PKU-2397878","NC_PKU-2398934","NC_PKU-2399728","NC_PKU-2408556","NC_PKU-2416741","NC_PKU-2416830","NC_PKU-2416938","NC_PKU-2416997","NC_PKU-2418111","NC_PKU-27","NC_PKU-28","NC_PKU-29","NC_PKU-30","NC_PKU-31","NC_PKU-32","NC_PKU-33","NC_PKU-34","NC_PKU-35","NC_PKU-36","NC_PKU-37","NC_PKU-38","NC_PKU-39","NC_PKU-40","NC_PKU-41","NC_PKU-42","NC_PKU-43","NC_PKU-44","NC_PKU-45","NC_PKU-48","NC_PKU-50","NC_PKU-51","NC_PKU-56","NC_PKU-58","NC_PKU-64","NC_PKU-65","NC_PKU-66","NC_PKU-69","NC_PKU-71","NC_PKU-78","NC_PKU-81","NC_PKU-8111237","NC_PKU-82","NC_PKU-83","NC_ShH-1","NC_ShH-14","NC_ShH-15","NC_ShH-16","NC_ShH-17","NC_ShH-19","NC_ShH-1903250135","NC_ShH-1903250204","NC_ShH-1903250374","NC_ShH-2","NC_ShH-20","NC_ShH-21","NC_ShH-22","NC_ShH-23","NC_ShH-24","NC_ShH-27","NC_ShH-28","NC_ShH-3","NC_ShH-31","NC_ShH-32","NC_ShH-33","NC_ShH-34","NC_ShH-37","NC_ShH-38","NC_ShH-4","NC_ShH-42","NC_ShH-43","NC_ShH-5","NC_ShH-6","NC_ShH-7","NC_ShH-9","STAD-2048931","STAD-2121836","STAD-2163710","STAD-2219227","STAD-2244628","STAD-2289794","STAD-2341412","STAD-2374161","STAD-2380893","STAD-2381588","STAD-2382676","STAD-2382823","STAD-2383295","STAD-2383652","STAD-2383723","STAD-2384103","STAD-2384513","STAD-2386653","STAD-2386936","STAD-2387639","STAD-2387809","STAD-2388003","STAD-2388092","STAD-2389088","STAD-2389093","STAD-2390003","STAD-2391321","STAD-2391832","STAD-2392576","STAD-2393829","STAD-2393878","STAD-2394558","STAD-2394727","STAD-2396557","STAD-2397437","STAD-2400904","STAD-2402396","STAD-2406523","STAD-2406754","STAD-2407753","STAD-2407781","STAD-2407817","STAD-2408356","STAD-2408664","STAD-2409257","STAD-2410621","STAD-2411043","STAD-2411921","STAD-2412000","STAD-2412035","STAD-2412079","STAD-2412284","STAD-2412938","STAD-2412941","STAD-2414108","STAD-2414120","STAD-2414185","STAD-2414224","STAD-2414426","STAD-2414470","STAD-2414774","STAD-2415291","STAD-2415932","STAD-2416091","STAD-2416249","STAD-2416272","STAD-2416507","STAD-2418352","STAD-2418587","STAD-2418777","STAD-2419363"
"mRNA",4770719,2639631,6079383,4306522,1345927,3888016,1516745,2099282,7448344,935770,2430301,752510,985869,6444007,1987189,8613675,5304793,1065939,5873119,1389495,4883221,3545846,272071,2424674,4612843,1519262,2279668,3426832,2428169,6515071,6669544,428905,2445697,3055534,2996500,6316535,7755363,3204990,5838219,4321090,5768358,2882405,7637810,4642620,1363025,5471405,1763573,4803768,5332664,1552861,6452006,1785610,1410182,3315320,3735979,5154933,3911323,3814885,1380720,5182599,4890831,4636397,7183086,5914583,3842463,4627187,2467850,6944683,6137077,3176482,2143296,4025996,3600492,2506148,3926762,5241168,3287523,4213306,1208081,3332469,3370114,286219,2592603,8099899,4139477,1374931,4781539,687347,3814677,6986560,145044,3474078,3939345,5004630,3308223,2056156,3620009,2018538,4478494,5051517,2999580,1753896,2488243,4492407,4410522,353399,469790,3100434,3631496,4969790,3357307,1256937,3007940,332385,231513,445985,402635,750140,1458821,1449511,2091170,1561318,316335,2330348,1419089,2089582,3061372,1331828,3511935,2695629,2136155,2249372,2839922,3482654,2270364,1613919,2307011,1728759,1454527,784488,2542616,2280618,655653,1896795,3281973,1741851,1240742,182813,2285464,1403147,2015572,1933371,1797066,2446060,1322899,4346254,2207080,7624577,2870950,5596747,515170,382454,1161129,383746,1917865,502081,349518,457035,409536,362356,7937526,1397344,1157232,4070297,1771631,3410438,6249980,3396342,2222729,5344047,4102355,3228839,7117198,2095517,4595126,1914376,2226814,2349247,1090081,3539097,1342230,4311442,1212546,3197409,2389952,4407878,5012282,2659242,1894849,1004676,2241459,4620624,3197067,3090439,2478677,3082082,241376,151671,1485542,990897,1645237,1247593,549519,981184,784794,1413791,238688,543248,2783677,4719496,3657833,4281261,6001395,5556026,3419098,2937394,5410963,677291,3676028,6731763,2795108,2410263,4306074,2520962,2171912,4686823,2722217,3167880,1834473,2888101,3272780,4267024,5157566,4673868,5395031,4161776,201201,4150617,4861801,3106613,2984641,7285956,1428383,663773,5687361,4981204,2382812,6929193,5704391,4847236,5016134,4595606,3370804,3145019,5088805,4329919,4492381,3416407,3365570,4900104,3473785,1914533,781662,567744,785563,951793,3264067,876340,612253,1658748,1884320,1012480,774394,279332,1047601,1239711,356806,361408,2614290,902884,2380800,1242072,863816,797932,579948,1268046,501669,411710,1824091,773818,3296810,2490525,4559642,1219530,5934040,4195591,5624643,4533318,1738861,328747,4771520,5754232,3760781,3102532,3976270,3746280,2581816,4230830,4730181,3680680,2145516,4315100,5888076,4273282,3404234,3225706,1704396,6590638,3170060,4758038,1405749,2988986,4789646,1067639,4192554,3898350,3653707,3178705,4810328,3714417,1796569,1794831,5239959,4017748,2102038,4332147,1691455,5242289,2161030,5156901,3527815,2529474,3984152,2373184,4031706,3475431,1839425,2781924,598525,3986403,2553862,2121610,694049,4813222,2892074,3237112,3470401,2336384,3956052,7068426,4200017,4299926,2656088
"lncRNA",301527,219495,309289,309111,67902,276577,82147,129806,411275,73001,142252,72761,78444,389042,150554,721974,308677,78681,410190,113897,281070,261025,37866,194433,303605,130090,144604,205634,170354,512899,360846,34395,180246,189651,220038,444614,486371,199310,384739,306259,363644,239728,452277,335023,98260,330820,99398,354385,355988,93066,473022,132178,113588,258442,257802,344171,278545,234407,86164,386508,318997,285658,424587,349775,292361,340062,199531,437280,340434,191636,139598,242590,228973,201648,285987,448579,186191,243847,100208,208192,279978,45051,199109,580178,285544,117866,364863,57585,249836,519715,68478,226861,286783,281381,188070,153798,235292,143688,331568,257624,198548,109355,162347,288682,232707,49047,64593,201951,223651,258602,161170,223811,213797,110368,90180,82854,281922,95429,127633,428056,143626,436789,56833,483687,590090,457167,320921,608058,467472,216482,694444,214407,358632,507232,810644,144960,1151323,115408,569241,88673,334189,657498,109347,1038482,246982,724614,834294,35015,225045,91470,460559,317613,643154,499882,861521,434290,210136,646689,329375,547878,105415,729691,83071,659174,526818,1088947,180506,615051,688199,91375,670927,118882,120843,365014,122390,233056,472156,254253,198125,437260,309701,225205,429744,156885,349546,187010,251106,184249,104203,283654,100080,264081,1427129,241338,168982,318871,1262934,185582,161037,175484,167449,286079,245358,227420,117598,110185,63297,40800,66857,132726,127098,373565,19795,75085,104701,110995,65808,30531,200030,306014,228706,247410,384546,341582,222826,176174,320361,53090,242910,400852,168241,163164,264079,188847,157438,319546,209275,141060,133960,139923,238521,240656,310762,321029,377299,286207,49381,251028,273716,178217,161039,451071,79816,53887,356316,318858,186371,427123,343916,355471,372402,289643,230346,207046,377319,317300,283325,255361,211869,317233,229051,142113,148439,134525,133400,292433,159059,146313,81824,342975,87118,49860,73861,46116,48284,50344,128284,27486,149752,81725,120757,203059,74475,182198,167489,114789,53157,64545,128125,49298,146314,153550,299749,149044,431834,287678,341130,366419,85678,34631,323888,402085,273333,197897,318373,291925,172771,290735,322157,257326,159624,286904,420008,296605,215722,253581,127099,414749,269666,334251,97889,205488,329403,79636,279122,255530,247543,208064,349181,241399,251571,319226,336872,274570,203830,235467,128223,296450,187372,316043,273447,151380,267494,175060,273687,252028,119067,190662,1006489,263737,166288,150204,337697,322152,239553,237773,260553,203939,245815,366744,279188,240587,170239
"snoRNA",518,266,317,269,150,266,118,86,338,99,128,50,41,303,236,456,413,66,212,96,202,514,88,436,390,140,84,95,129,534,726,112,860,198,183,285,374,102,312,259,278,1262,638,225,30,362,63,618,409,45,348,180,377,458,329,319,269,307,66,419,252,290,494,368,322,414,239,385,449,218,177,308,321,210,386,585,242,340,149,141,287,21,209,3741,296,373,342,65,311,400,31,175,241,163,103,245,229,94,218,165,159,52,132,244,168,42,61,234,309,366,316,175,268,82,49,56,171,147,365,530,195,518,285,738,324,685,1566,319,289,899,583,146,732,313,626,182,352,170,499,301,767,337,224,301,746,166,587,42,665,164,236,389,638,456,610,1125,2027,4734,2901,3666,83,215,165,172,3089,248,926,127,124,445,398,297,199,471,133,310,506,234,144,396,399,199,865,136,694,149,333,189,57,339,257,208,513,187,102,204,685,188,221,83,265,172,281,546,627,360,45,112,144,181,252,335,33,200,151,277,71,84,387,493,266,309,472,388,397,230,595,174,273,1762,341,802,303,264,123,383,416,173,412,198,544,337,531,260,514,580,200,444,445,384,276,419,101,46,575,467,349,1011,351,381,539,572,748,390,676,336,388,263,261,376,288,349,47,32,52,161,193,739,275,1290,169,88,61,27,100,89,32,12,402,170,182,101,57,54,44,165,77,58,326,138,128,647,321,99,465,307,408,276,133,115,302,497,140,151,636,374,156,243,459,406,93,645,264,267,204,218,70,436,280,341,708,143,293,283,230,485,491,212,370,257,153,198,503,286,207,430,84,544,247,398,326,111,368,256,349,226,129,524,288,288,321,309,138,410,407,295,362,222,359,561,498,313,199
"snRNA",2119,664,475,1277,441,608,158,465,785,224,354,316,229,1241,629,1636,678,265,1608,136,1417,996,538,1614,869,706,245,822,632,1201,1136,129,1285,350,592,1832,1176,203,538,995,775,4011,1396,1420,329,1331,505,1653,950,540,1412,259,1410,1479,995,964,966,941,359,1702,925,1170,1024,1164,1017,991,471,1302,1088,829,383,1216,727,625,1358,2161,725,1339,542,758,439,233,261,3769,948,774,1207,309,936,1456,129,1061,924,981,795,1182,1381,886,1000,907,1177,557,942,1129,492,478,372,1072,813,1591,1243,953,989,366,473,524,564,1068,989,957,361,1032,631,1193,703,1102,1654,710,892,1663,1138,592,1580,1025,1276,419,885,440,886,477,1503,944,367,769,1418,520,1268,185,1347,768,794,884,1327,1151,1343,2422,1885,4545,2569,3624,508,666,831,258,2653,325,1292,174,235,1121,1195,976,835,1059,547,1261,1473,700,607,1024,1125,824,2441,512,1577,326,921,1060,230,467,658,377,1323,985,1184,824,2178,459,619,330,1035,419,1235,1470,2428,1556,274,526,1003,751,1173,1245,118,842,765,1228,365,294,938,1594,1194,1160,1463,1153,1519,874,1275,895,1151,2854,1214,2136,858,1029,649,1033,992,615,923,908,1145,767,1819,1021,1479,1423,146,1668,1371,1244,1040,1272,282,236,1618,1156,1459,1729,1581,1349,1558,1778,1630,1162,1907,1416,1195,897,881,1277,1032,1454,153,133,161,296,654,1867,882,1692,633,608,636,390,513,539,132,77,1547,475,579,520,581,135,127,713,501,615,1481,494,500,1500,1432,791,490,1111,567,773,333,559,1043,1355,570,611,1384,1161,551,331,1773,885,850,624,369,624,1035,620,814,697,1299,1186,1280,1044,1005,625,386,1118,1307,893,931,1052,944,541,926,882,1444,1136,544,1290,589,868,720,430,1256,1669,1522,873,797,985,469,1028,966,1217,643,875,940,898,807,1098,965,1224,1350,1242,290
"srpRNA",7308,4147,4241,5810,2500,3918,2111,2731,4322,1170,5352,2218,3473,6350,4091,5738,3997,2393,5440,1302,8041,4976,4073,8177,6097,5490,2930,3389,4143,5042,5976,1292,5166,6201,4287,4861,8030,4571,6463,4117,6276,6685,6764,4485,2576,11694,2720,5674,4688,4606,5228,7879,7256,3884,3153,4045,3365,4216,1980,4862,6162,5420,5366,4578,2932,3280,2005,6746,6099,2737,1702,3503,3387,1546,6162,9838,3501,5616,2953,5179,2508,2993,1800,3221,4884,5665,5131,2748,5934,5455,1025,4731,5172,6672,6893,5370,5921,5338,5543,7326,5800,4556,4739,5573,5847,3320,2781,7671,6360,7555,7465,5666,5969,4615,3357,5149,4190,7624,5130,2740,1446,2745,3402,2638,2560,2531,5829,2599,3094,5037,2731,2068,3280,3293,3009,1605,3209,1940,1647,1425,3206,2593,1581,2974,4980,3438,1568,807,5005,3815,2812,2589,2455,2741,2642,7856,5993,7336,5924,5898,5453,1265,4140,1024,6676,625,4563,775,870,4633,5823,4302,4970,5557,2984,5566,4515,1955,3880,2301,4931,6442,6322,3858,5364,3229,3576,5103,1432,2472,5607,4930,1072,5688,5681,3987,7390,4087,3706,1369,6456,5712,5817,5318,7302,6519,2160,2469,5122,3645,6500,6232,259,3871,6495,6976,2246,2394,5043,4494,3897,3503,5759,5095,4286,4008,4699,4724,4545,6962,5347,8282,7772,7226,5277,4369,3537,2862,3088,3142,3208,4541,7583,4042,4536,3913,3686,5053,5697,5392,5711,6563,3581,3481,4463,3623,6282,6763,4978,5491,4015,4880,4758,8235,4018,5309,4928,4291,4510,3546,2423,6276,2332,2468,3100,3499,3754,4453,3417,5458,5655,4143,5487,2906,3799,3026,2165,1540,7350,2638,3340,2726,3397,2944,3056,6274,3896,4336,8164,2035,3025,7282,5469,8704,1177,5431,1275,2776,2655,3844,6209,5058,5612,3517,6878,5095,2174,5182,6065,4149,4191,3671,4767,5477,6691,2068,5103,7576,5195,5720,7048,5453,4778,4654,4664,5230,6093,7585,5425,7116,11645,3214,3740,2603,9425,9227,3708,5054,2864,5960,2740,4102,9657,11369,10475,4597,9169,5361,1264,5402,8782,9801,6754,4892,5196,4727,5802,10480,6494,7989,7662,6176,3804
"tRNA",2577,1132,582,2396,451,601,336,748,2017,89,2219,180,250,3499,1387,1191,1982,506,2379,236,4162,1643,3241,3345,2656,3065,401,1913,1058,760,1282,795,5117,2099,1033,1910,1806,1420,2675,962,1219,4814,1623,1125,321,6452,604,3108,1083,2186,1429,3165,5431,1928,1001,1334,1012,852,372,2622,2127,2013,661,1065,744,1512,428,2311,2577,580,814,781,828,445,2889,7282,639,2131,902,1258,565,936,285,1447,1417,2637,1437,940,1327,1433,119,1765,1788,2777,2404,1334,2735,2145,2492,2430,2101,1646,2626,2180,754,482,266,2949,1441,2302,2261,1868,2234,1003,710,929,1540,1244,1419,641,121,629,1087,612,882,605,1499,922,720,1688,910,298,705,792,1049,427,1675,255,725,347,707,1010,267,1517,1515,1294,706,128,1470,799,701,754,817,872,1353,2158,2621,1809,1507,1966,1522,1108,2175,607,2503,524,2320,531,522,2352,922,3606,3806,1329,564,2458,984,373,1272,672,1301,2458,5300,604,1643,350,1143,2652,221,457,5189,425,1752,1465,3117,1044,3917,933,1032,299,2859,574,2198,967,3023,1253,1341,1362,2407,2691,3219,3183,602,2604,2695,2616,775,910,1276,1371,835,944,2143,1405,1753,663,1156,3332,1017,3096,1229,4595,3370,3116,1351,973,1112,507,417,399,652,1062,3367,1159,1054,1154,3312,1266,1426,1624,1259,1969,784,1339,1462,999,1854,2325,1689,1285,650,1857,1343,3291,1302,1740,1590,932,977,1121,633,3094,350,363,592,842,646,764,787,1231,2375,708,1953,638,609,452,347,79,3574,375,420,403,713,692,438,3100,971,1671,4355,267,456,3485,1995,2833,1095,1215,1420,726,419,2001,2354,1672,1956,687,3281,2366,1205,1275,2125,1118,1344,1129,744,1679,1718,502,1427,1067,2675,2252,2131,1740,2653,1718,813,1801,1949,4507,1852,2505,4760,675,1014,481,6667,5765,873,1629,1252,2507,2190,623,6364,6299,4512,1599,2915,2853,1029,1979,2318,4205,3386,1193,1306,1276,721,6163,1001,1942,3837,1129,594
"YRNA",3605,1159,600,1973,326,639,312,785,1402,235,728,322,365,2453,764,1760,1412,620,2323,408,3934,1125,1641,2275,2031,2363,405,1439,1117,1033,1185,463,1460,578,1111,2687,1469,340,1199,1494,1083,3900,1570,1954,526,3090,806,3460,1362,1270,1736,374,2396,2284,1198,1292,1554,1335,381,2354,1780,1607,974,1058,1268,1667,711,1707,1005,959,731,984,785,588,3558,5297,690,957,1516,1410,697,259,501,1159,1968,2059,1679,897,1505,1842,78,1776,1772,2302,1784,1577,2138,1140,2261,1243,2839,1469,1855,2538,911,515,302,2039,1101,2232,1743,970,2090,398,526,655,604,1123,1467,448,301,434,351,529,307,548,2130,328,646,2470,472,484,676,719,534,588,565,447,504,375,725,646,210,519,2102,425,465,97,1773,1400,512,711,605,839,957,2285,1167,1642,1009,1681,518,279,1332,145,553,126,406,63,67,351,1404,1891,2313,1524,859,2272,1326,792,1358,1108,1982,1335,5399,1015,1995,651,1592,3005,434,811,2857,427,459,2430,2597,1365,3056,766,1034,365,1725,476,2673,1593,1389,919,417,517,965,1588,1411,1074,173,1579,614,808,197,250,1529,1820,1550,1191,1863,1978,1622,1023,1432,2546,1820,2768,1607,3187,1548,2288,1512,1771,1689,839,566,564,943,845,2512,1270,1530,1186,189,1470,1204,968,1170,1665,530,389,1457,1256,2679,1840,1489,1316,1000,1822,1136,1186,1525,1648,1434,993,1366,1388,926,822,86,118,162,182,513,835,919,992,556,477,493,271,580,431,90,87,1094,316,445,348,497,114,114,836,527,564,1540,163,368,1002,2298,1284,443,2164,698,887,618,1157,2149,1692,698,799,2294,1815,646,716,2640,925,1434,685,469,1726,2022,888,1527,1070,2164,2344,1500,2473,2288,1314,628,1625,1874,2216,1858,2871,1588,1031,1573,1337,3089,2362,1216,1548,1194,2257,865,532,2580,4622,3459,1916,1666,1969,277,2395,1550,2441,1030,2173,1430,1806,1560,2192,1722,1831,3679,1089,635
"intron",381427,102489,185613,240722,113263,100614,51025,194398,229200,55881,170081,56133,53477,189622,111623,1521953,184851,38821,216383,34944,172657,316075,76222,309333,198406,97484,82571,96024,112257,1239360,185477,35225,133179,132548,168886,232170,240902,118489,182868,136525,181768,430605,264692,227848,86964,380741,81269,389643,161370,54794,609903,250012,69248,237759,259912,143544,147218,147687,53468,173378,143456,143994,223706,210476,116107,165926,72402,209267,168623,184695,153551,163204,115752,71473,279078,504500,116213,151838,116728,133847,87353,109685,70844,4597986,150402,229915,190455,99389,212081,694977,369281,161358,290749,195167,157970,269342,143117,95754,511071,246782,169004,98384,123615,222004,132684,204001,243781,429587,775969,225227,233627,1102842,215447,562434,372683,307480,1535683,296475,507179,1949754,228324,1991403,159550,2679290,2725320,2520091,1806009,2841559,1312281,701177,3483030,467537,1692087,1528549,4089831,239405,5216068,180424,2969011,402635,1582734,2634304,510968,4761561,706749,3324389,4852537,133508,850288,188656,2062858,1204071,3566203,2125199,4845787,1893052,1652266,9199876,2907427,5973618,397774,4709714,247990,4232470,4049052,6835035,1042935,3745177,3864764,408109,1378071,110427,220401,557164,192088,262196,1117787,139427,102588,224441,250278,298736,407730,237829,360705,89368,746413,249888,186714,133632,151377,150031,6776493,412601,196169,186574,4791048,253989,191910,598255,227813,301608,475951,713146,321693,273990,240279,186164,159836,606766,460783,2024279,46796,275060,443763,372113,357455,64170,175133,288531,234337,336951,185445,330149,166515,222890,662365,55603,240491,1077136,276826,269115,309343,199947,76389,237658,210737,123230,366334,206916,722193,310588,218908,128960,376252,321910,166463,278344,288462,270396,198758,252338,70710,59143,487088,275385,385017,739701,190496,227564,399608,197149,444019,256517,588520,150158,218040,141489,207303,152943,145258,528279,506364,533596,533002,1449079,309212,953256,401450,2266387,219788,129846,251169,152087,110063,99548,621861,57555,529044,327127,344570,965505,258154,652029,711945,435234,201414,275487,366213,179712,254786,606345,183882,340486,201700,224109,154040,252901,88258,63626,187393,227952,276019,89337,494070,312933,71867,233328,385172,188171,101871,125914,309820,166821,142460,169896,232266,325173,120863,187251,194585,188746,189070,198902,178330,222568,385496,289942,168547,182952,816777,1154674,165641,165899,407111,189884,220937,228441,442643,169462,208736,98133,295508,160596,221940,141246,102318,367372,6207484,177033,232051,276865,1591087,174097,172497,149505,204581,227925,193443,271520,212081,195627,79420
"pseudogene",93124,59631,68098,86044,27732,70311,24445,37804,102989,20891,44081,21178,24508,100982,53910,167293,79007,25138,97320,30347,78771,73564,15125,54145,90181,43380,35415,55454,51577,114472,110826,13560,76105,47629,64162,117406,135848,53893,86608,83028,91075,59104,123635,94385,27576,96480,33383,89866,100287,30428,118622,28300,37359,74293,69770,84518,79933,70408,25530,103126,80846,80433,114286,97209,82604,92473,51163,115231,99696,59322,39893,76853,68498,49947,87558,116966,56761,71270,33767,67178,69881,7974,58804,129688,80283,43648,97030,19968,58956,130236,10592,69453,72893,96583,58300,46798,70553,53956,84210,72935,65931,46962,60392,89611,73777,10772,15493,61523,64195,83061,59050,46901,66246,19938,12390,15304,39513,22153,36728,72112,48969,73786,9740,89522,88321,83618,76862,90110,84476,57001,109289,46925,76647,91358,126502,45924,177145,40804,89480,25754,71035,105363,24608,157284,70092,107708,126186,7537,54521,37139,82191,59530,107394,93511,132833,102594,53842,199754,77899,153901,18078,109926,22205,107446,97384,156476,29967,104955,99118,13216,154492,39082,30717,85621,35176,68328,109887,70983,49336,92574,99619,57134,176174,45060,99136,49518,65067,60955,26898,67640,38512,71745,206989,72296,52238,85579,220471,51839,45549,36454,49671,76846,70697,71820,50579,49341,10415,7825,24886,30407,35264,63581,8639,21351,21705,28254,14163,16506,59726,81971,71451,63273,104778,95458,67260,49559,83113,24134,76153,136443,48797,60505,70493,55515,48964,90318,62707,59195,38210,45850,67510,72157,102107,78822,104957,75056,6525,85878,84033,54234,51526,120123,18045,11525,95898,78498,52070,102604,91475,98255,90458,80597,60350,58076,95697,81884,84659,62636,50225,83581,73598,41806,32415,27243,29686,53472,50395,31695,18353,67336,31382,18918,19466,8366,21436,24000,23333,10318,50354,21214,38653,37884,18465,36750,26903,30142,12915,14179,40531,16087,47417,49753,99148,40668,99190,84945,83755,84957,37623,14985,99389,130049,63363,62470,82868,78012,47144,90773,104442,75559,56486,76644,101194,76363,68084,63931,42764,104903,69784,82756,37880,68825,86063,29197,87943,92014,67952,66250,86983,74951,57809,64788,100730,74199,67015,73372,44836,83211,54224,89255,63468,46967,83832,64241,89385,72415,43314,62783,158878,92974,52995,57825,57672,97349,54327,81761,70136,57183,74968,108556,92522,73151,53093
