"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"CRC.2386612",-5084283.0195452,-7734.88358325296,-4318.7527899473,1220.85259763709,-745.189493163722,-409.39868117376,709.480702630261,5908.64481517885,-6423.56785043564,3034.50256675053,-529.536893428175,-1874.67187149434,1327.75100429313,1992.60755493699,-2946.4092574673,2315.76901877788,-296.698304552289,-74.2808979013289,1483.17357143614,113.796225176634
"CRC.2387327",-5093572.65010651,3449.59250665999,-1990.09566355492,-3409.08116240222,-894.465778161806,7246.34810166754,-2760.78397184673,2229.35767510684,-716.243024013693,2205.99137172957,-2538.92411125148,68.1581900316891,1513.83994150993,-707.810761020358,-453.263659057476,177.635608237514,-178.358436197732,-252.66709357683,747.718962563,-216.554625207054
"CRC.2387768",-5108130.93799603,-709.600801058667,-6023.6162598199,805.721611820947,-1323.25792022215,4028.2875122562,-1688.53210206005,3577.2698396206,-3035.85398765696,756.660731025223,235.073937800159,-1102.79052161951,-87.543594505773,-238.548420072808,1107.11044430928,1343.03831719428,772.203976160343,264.232808838499,1195.51163861241,-398.300804454831
"CRC.2388859",-5096041.92014856,-855.204293246385,10819.0963401935,-2421.61835109238,1091.18696497134,5410.28236492329,-570.378905200324,1942.19183241246,-5489.31263355967,2260.12413910091,-1442.59224945166,-786.701543441813,396.086220569176,-262.756738677923,-230.66532304619,-679.304632189375,-188.576607965076,-651.383943456349,535.6938036025,-889.72305328722
"CRC.2388932",-5120463.41327744,5712.24241408999,-746.122447450193,-2040.24016165804,-2240.12500042595,3606.64740968135,2248.69641507569,1967.94925004304,1379.35902314512,2077.53153442698,1741.55721846352,-1100.7682835862,-749.931355637097,3756.54955192939,2011.3952571883,3275.15275236837,-557.167387133207,1694.42936462593,233.128559094571,-47.5365987103056
"CRC.2389212",-3377824.26539595,49355.4344739075,-96099.6634164242,69875.5566824436,18356.5294527922,-14695.3508219145,-31362.1786531887,-12473.1638855402,672.217966046687,40448.505045518,7025.27564818621,3128.50805592117,-2571.56734686536,-510.867987748299,1431.05357160221,-801.137202529673,375.948145879611,-343.83333119577,19.9747632846732,416.029395297016
"CRC.2389216",-4936652.68773267,4248.85897587808,-24220.2698507816,27996.1061942676,33509.1091887794,-4438.47493144853,7481.0111058174,-2958.9406542782,3295.39560336359,-6637.70960762566,-1274.73073684327,503.55904140085,-1318.66746907053,-1866.7996138288,1941.71169461994,-1140.64779161649,-544.496784526457,212.51924473014,1100.93989217532,-268.530136099654
"CRC.2389315",-5123228.14861859,12613.0939574431,17947.3058008288,21101.535769143,-12301.5721953218,427.524808364768,7554.70921401957,2473.56494025796,-5356.1965629743,3368.33969753995,333.699330564723,758.934023801656,-2983.93883306804,1940.8049025114,-361.701779965037,2706.84102517323,137.985606321459,1394.33917193025,-666.450860810659,123.281599391936
"CRC.2389419",-4988096.38155252,-45025.283975329,-11898.2282549947,-6569.27603292305,-343.10488512766,-819.03990705137,-2009.34641547033,1585.81305704635,1861.52667533782,-8.93100102656027,-3758.46547310958,2304.0106876271,-3835.39746314873,1840.16473106859,-1042.37246998163,-804.252175459388,-576.431861724852,-736.476018019589,-1156.17912844737,90.5244852323396
"CRC.2389477",-5085811.56865507,1742.84867679142,-1318.43584104318,-5738.12104627334,1938.43770987309,6865.13742569602,-4280.41168444361,2872.43137062649,-488.950129951061,1362.01254489341,-3063.71164263176,592.784344528974,307.685757024745,618.741116207715,-1379.07275114483,-425.125543369052,-343.986287264409,-855.056986904778,-56.8076085007104,158.564732468761
"CRC.2390502",-5093652.12824427,3737.60212660658,2322.73120908812,-2327.45271376396,-902.122972790305,3670.7911036912,1304.25995798122,2146.05923425562,238.165350936208,2123.04615249791,-153.812328935393,771.810670950413,9.23051235025699,1293.43887951498,-990.497441147704,1270.10302738856,-157.253951363127,248.736121863624,168.94883951018,65.5211456970972
"CRC.2390716",-5084692.8880992,24862.5212790465,16524.1700150872,20314.9683222432,-6094.53173326819,1531.71826210951,6355.21928643718,6837.63843497206,-9218.6281614116,3346.06798973604,1161.11544949466,489.386771588006,-505.480366619285,-488.049132964733,-3332.79668076393,-211.09863396341,1126.11591236231,-1778.24163253091,117.694563662397,-408.430842219455
"CRC.2390804",-5156563.78378144,36701.7733871984,15530.5892493436,11466.9350524395,-5830.83475374413,3548.6835928162,6101.75981027019,2822.71805047161,-4657.09423590529,3097.71809075132,1440.1122859329,521.713595709368,-712.703385549341,118.045349219267,-650.134906518883,349.108034932975,860.819312151844,-110.754355154429,-165.500841973554,-367.224854360533
"CRC.2391097",-5082770.73782073,22020.4885223024,-7562.71609462757,-10326.4785895177,1769.9414382432,-657.857067256052,-466.303429479782,-408.746819951719,3139.02787748999,-264.755356859429,-598.00944281434,804.351391714116,215.761737129426,217.367859201805,-46.0567662070218,3.3172410804614,127.041962608376,-257.587651684874,106.664909858545,-159.412972805845
"CRC.2391358",-5123173.26751847,12749.8731048317,11075.4074757826,3392.53983590357,-4037.9562605623,4694.28514879655,2002.39719405447,2183.22166403085,-472.974284194992,3076.55427502478,-2219.38534349305,474.209194936154,468.175860497712,103.820140604261,-1870.06731888147,-219.619516820719,-129.888173177436,-1174.02260216144,65.4240578245742,-234.039383643069
"CRC.2392154",-5095418.66098484,413.561924307701,-5645.26340187923,-3880.87326130783,1874.29049919475,1056.48413937942,-4768.60327150789,-105.884207443541,-1301.17940086959,-3110.87377847136,2241.68299945781,601.846672466892,-292.882509697276,-1041.04483255376,1519.77448845549,-274.288474355254,477.816681941893,893.769225532403,285.181560370319,-347.499217624983
